* Measurement data measured by REW V5.31.3
* Source: Pro Tools Audio Bridge 2-B, Pro Tools Audio Bridge 2-B, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 11, 2024 1:23:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bad Cat Matching Test NAM Dec 11
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
276.855490, 102.631, -107.4243
277.221701, 102.622, -107.6046
277.587912, 102.611, -107.7968
277.954123, 102.598, -107.9848
278.320334, 102.586, -108.1578
278.686544, 102.576, -108.3182
279.052755, 102.569, -108.4784
279.418966, 102.563, -108.6503
279.785177, 102.555, -108.8351
280.151388, 102.545, -109.0220
280.517599, 102.531, -109.1966
280.883810, 102.517, -109.3539
281.250021, 102.506, -109.5037
281.616232, 102.498, -109.6657
281.982443, 102.493, -109.8558
282.348654, 102.486, -110.0748
282.714865, 102.476, -110.3080
283.081076, 102.462, -110.5354
283.447287, 102.445, -110.7443
283.813498, 102.427, -110.9368
284.179709, 102.410, -111.1255
284.545920, 102.392, -111.3240
284.912131, 102.373, -111.5370
285.278342, 102.352, -111.7594
285.644553, 102.329, -111.9813
286.010764, 102.305, -112.1956
286.376975, 102.282, -112.4009
286.743186, 102.260, -112.6000
287.109397, 102.238, -112.7960
287.475608, 102.217, -112.9895
287.841819, 102.195, -113.1796
288.208030, 102.172, -113.3651
288.574241, 102.147, -113.5460
288.940452, 102.120, -113.7214
289.306663, 102.090, -113.8887
289.672873, 102.059, -114.0438
290.039084, 102.025, -114.1840
290.405295, 101.992, -114.3113
290.771506, 101.959, -114.4318
291.137717, 101.927, -114.5525
291.503928, 101.894, -114.6766
291.870139, 101.860, -114.8008
292.236350, 101.825, -114.9173
292.602561, 101.789, -115.0182
292.968772, 101.753, -115.1008
293.334983, 101.720, -115.1686
293.701194, 101.688, -115.2285
294.067405, 101.659, -115.2863
294.433616, 101.630, -115.3436
294.799827, 101.601, -115.3976
295.166038, 101.573, -115.4433
295.532249, 101.546, -115.4769
295.898460, 101.521, -115.4966
296.264671, 101.498, -115.5023
296.630882, 101.476, -115.4941
296.997093, 101.456, -115.4723
297.363304, 101.438, -115.4379
297.729515, 101.421, -115.3947
298.095726, 101.405, -115.3486
298.461937, 101.390, -115.3069
298.828148, 101.376, -115.2746
299.194359, 101.361, -115.2523
299.560570, 101.347, -115.2368
